"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .092023";"4571";"1/1";"00";"01/08/2023";"5.282,37";"04/09/2023";"0,00";"0";"30/08/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .67481726";"5257";"1/1";"00";"01/09/2023";"5.282,37";"04/10/2023";"5.282,37";"0";"";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFS .1790";"1975";"1/1";"00";"25/01/2023";"61.491,89";"27/01/2023";"0,00";"0";"27/01/2023";"61.491,89";"0,00";"3.382,05";"58.109,84";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFS .1810";"1976";"1/1";"00";"07/02/2023";"41.751,89";"10/02/2023";"0,00";"0";"10/02/2023";"41.751,89";"0,00";"2.296,35";"39.455,54";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFS .1824";"2014";"1/1";"00";"01/03/2023";"64.846,76";"10/03/2023";"0,00";"0";"10/03/2023";"64.846,76";"0,00";"3.566,57";"61.280,19";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.07 - Marcenaria, Manutenção e Obras";"NFS .1855";"2618";"1/1";"00";"14/04/2023";"53.594,00";"20/04/2023";"0,00";"0";"19/04/2023";"53.594,00";"0,00";"2.947,67";"50.646,33";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.07 - Marcenaria, Manutenção e Obras";"NFS .1892";"3039";"1/1";"00";"16/05/2023";"821,00";"20/05/2023";"0,00";"0";"19/05/2023";"821,00";"0,00";"45,16";"775,84";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.07 - Marcenaria, Manutenção e Obras";"NFS .1891";"3317";"1/1";"00";"16/05/2023";"3.450,00";"15/06/2023";"0,00";"0";"15/06/2023";"3.450,00";"0,00";"189,75";"3.260,25";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.07 - Marcenaria, Manutenção e Obras";"NFS .1974";"4455";"1/1";"00";"14/08/2023";"900,00";"20/08/2023";"0,00";"0";"18/08/2023";"900,00";"0,00";"49,50";"850,50";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"233 - DMAISE ARQUITETURA E ENGENHARIA LTDA ";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.07 - Marcenaria, Manutenção e Obras";"NFS .1976";"4530";"1/1";"00";"14/08/2023";"1.600,00";"20/08/2023";"0,00";"0";"18/08/2023";"1.600,00";"0,00";"88,00";"1.512,00";"";"";"";"";"";"";
